L,R,F,M,C
1.435818,-0.945013,14.034242,26.761579,1.294727
1.307265,-0.911961,9.073385,13.127108,2.865755
1.328494,-0.889926,8.719038,12.653719,2.878516
0.658602,-0.416176,0.781666,12.540858,1.993186
0.386164,-0.922978,9.923817,13.898990,1.343471
0.887403,-0.515333,5.671654,13.170191,1.327444
1.701180,-0.945013,6.309478,12.811895,1.314765
-0.043133,-0.933996,4.325136,12.820825,1.297057
-0.543193,-0.917470,3.120356,14.448142,0.575026
-0.145740,-0.867891,3.687311,16.993452,-0.076075
-0.306136,-0.829330,2.199054,11.623008,1.440758
2.283797,-0.917470,9.427732,12.070699,1.245521
1.411051,-0.581438,1.206882,14.450042,0.416389
1.445253,-0.933996,7.514258,7.704271,3.655213
0.035886,-0.939504,2.695140,12.005576,1.080406
0.831972,-0.592455,0.710797,10.326626,1.643039
-0.157534,-0.911961,6.309478,7.358326,3.591130
-0.296701,-0.702629,1.986446,12.674999,0.625647
1.683489,-0.939504,3.687311,7.221857,3.672587
-0.641082,-0.818313,1.844707,14.989979,-0.074587
0.685728,-0.928487,6.663825,7.115219,3.498596
-0.543193,-0.917470,0.781666,9.370396,1.835158
2.109248,-0.823821,5.813393,13.676783,0.106572
-0.047851,-0.542876,0.569058,9.740424,1.528566
0.020554,-0.856874,2.269923,12.564656,0.352513
-0.264858,-0.856874,3.545572,10.751898,0.977743
1.328494,-0.933996,14.246850,8.103417,2.293069
2.209495,-0.889926,4.396005,6.239881,3.844286
1.788454,-0.851365,6.309478,6.735975,3.329783
0.737621,-0.889926,5.317307,6.266909,3.797535
1.677592,-0.939504,2.907748,6.020952,4.038099
2.269644,-0.906452,5.884262,6.257361,3.744464
2.108068,-0.862382,8.435560,9.672403,1.204171
1.703539,-0.933996,5.884262,6.218126,3.656610
1.401616,-0.933996,2.482531,12.721740,0.019457
0.166798,-0.355580,0.923405,9.645850,1.166423
2.175293,-0.763225,0.852535,8.193478,1.973461
1.691745,-0.261932,2.978617,5.875410,3.999621
1.215272,-0.945013,10.915989,10.069269,0.908467
0.435698,-0.763225,4.892091,5.866243,3.821667
1.661081,-0.939504,6.096870,5.726449,3.980361
-0.378079,-0.933996,1.632099,8.731563,1.494246
1.361516,-0.933996,5.884262,5.865483,3.647664
-0.072618,-0.878909,2.411662,11.373773,0.230521
2.259030,-0.741190,2.978617,6.816536,2.629135
-0.333262,-0.829330,0.639927,7.988276,1.661539
-1.017307,-0.945013,6.947303,8.087789,1.588417
1.564371,-0.911961,8.648168,5.844250,3.426437
2.196522,-0.939504,6.734695,5.628361,3.658513
-0.157534,0.724129,4.112527,9.593267,0.764198
0.768285,-0.945013,12.545985,10.372512,0.435340
-0.796761,-0.928487,5.317307,5.460779,3.800035
1.416948,-0.889926,1.206882,9.217397,0.901428
0.960525,-0.945013,2.553401,5.358748,3.708266
1.145689,-0.945013,3.970789,5.607603,3.390345
2.260209,-0.928487,7.018172,9.463971,0.574888
0.977036,-0.829330,4.041658,5.431186,3.420440
0.896838,-0.928487,8.081213,8.884989,0.786049
2.230724,-0.867891,3.049487,6.486076,2.291155
2.196522,-0.834839,4.537744,9.386118,0.524811
2.170576,-0.867891,3.970789,5.225747,3.558082
2.276720,-0.945013,4.608613,5.643086,3.058726
-0.115076,-0.917470,5.104699,8.051357,1.167131
-0.514888,-0.873400,5.955131,8.896436,0.681831
-0.100923,-0.906452,1.277752,6.967397,1.811519
1.961824,-0.845856,5.175568,4.929440,3.805057
0.990010,-0.465754,1.419491,7.849100,1.202906
-0.151637,-0.845856,1.561229,7.258100,1.575941
-0.283728,-0.945013,13.112940,12.277896,-0.549004
0.524152,-0.911961,1.277752,7.926573,1.115642
-1.056226,-0.608981,0.427319,9.148141,0.485268
0.159721,-0.845856,3.687311,5.715049,2.778968
-0.775532,-0.928487,9.711209,9.585002,0.283217
0.986471,-0.878909,3.474703,5.978676,2.496332
-0.263679,-0.752208,1.702968,9.144721,0.454493
-0.192915,-0.829330,0.710797,7.271637,1.461276
-1.306256,-0.790769,0.781666,7.215492,1.477949
-0.545552,-0.851365,0.285580,6.928922,1.607559
-0.279011,-0.906452,6.380348,5.837790,2.471503
1.880447,-0.917470,4.892091,6.741960,1.688996
-1.000795,-0.917470,1.277752,9.090001,0.326020
1.567909,-0.884417,8.152083,7.281375,1.266048
0.625579,-0.939504,3.120356,4.721910,3.636199
-0.924135,-0.945013,4.750352,9.095226,0.298646
2.170576,-0.900943,6.026001,6.581694,1.700235
2.277900,-0.939504,10.349034,8.922419,0.338423
1.645749,-0.911961,3.687311,4.654080,3.616934
-0.143381,-0.878909,2.766009,5.708589,2.398360
1.155124,-0.157266,1.206882,6.637507,1.598582
1.038364,-0.945013,4.041658,4.595987,3.596347
0.741159,-0.867891,5.388176,5.001735,3.023399
-0.393411,-0.867891,2.128184,6.893867,1.318672
1.335570,-0.895435,8.293821,4.393445,3.821446
1.405154,-0.873400,3.899919,5.041873,2.936059
-0.047851,-0.658560,0.002103,6.149583,1.821839
2.268465,-0.928487,6.238609,6.884224,1.244109
1.913469,-0.889926,4.041658,4.816816,3.107542
-0.479506,-0.763225,0.356450,5.131411,2.726263
2.286156,-0.900943,0.002103,6.149583,1.754280
-0.926494,-0.928487,2.978617,6.044037,1.793430
0.688087,-0.834839,4.750352,5.066621,2.736749
0.638552,-0.922978,5.317307,4.170478,3.909820
-0.927673,-0.856874,2.907748,6.049737,1.751842
1.362696,-0.856874,5.671654,5.581430,2.141527
-0.098564,-0.889926,2.553401,6.327852,1.508244
1.879267,-0.933996,5.529915,4.316067,3.615022
0.482873,-0.900943,3.120356,4.148818,3.854608
2.115144,-0.928487,9.498601,8.265441,0.330523
-0.659952,-0.867891,1.632099,7.116976,0.930566
-0.689437,-0.603472,1.490360,7.444539,0.708580
1.946492,-0.911961,9.215123,7.601813,0.613150
-0.304957,-0.708138,1.348621,8.888171,0.007289
1.405154,-0.790769,2.907748,4.069777,3.848339
1.188147,-0.873400,0.639927,6.758585,1.097319
-0.974849,-0.801786,0.285580,8.473683,0.171138
2.269644,-0.933996,5.175568,6.573286,1.211147
2.270824,-0.829330,4.183397,4.875479,2.720852
0.657422,-0.939504,8.364691,7.138019,0.819232
-0.076156,-0.928487,5.459046,6.281301,1.383522
1.979515,-0.889926,5.033829,4.073957,3.726619
2.261388,-0.939504,6.167740,6.882561,0.945186
2.138732,-0.801786,1.986446,8.612146,0.051882
0.757670,-0.889926,2.836878,3.904713,3.977439
1.799069,-0.895435,3.758180,4.867547,2.641791
2.093916,-0.933996,1.561229,6.380340,1.241312
1.530169,-0.917470,5.033829,6.302011,1.290006
-0.731895,-0.818313,3.758180,4.359055,3.225870
-1.206009,-0.823821,0.427319,6.123647,1.407537
1.178711,-0.928487,3.829050,4.055052,3.648937
1.670516,-0.939504,2.836878,4.172758,3.431483
-0.444125,-0.741190,1.065144,7.849005,0.315971
2.263747,-0.945013,12.829462,9.148189,-0.251191
-0.997257,-0.917470,3.758180,7.952033,0.226537
-0.907624,-0.625507,0.143842,6.050972,1.359768
0.159721,-0.889926,0.852535,9.297625,-0.342941
-0.258961,-0.856874,5.459046,7.611265,0.352667
